SAT,GPA,Gender,Ethnicity,FirstGen,Admission
1540,4.5,0,1,0,1
1530,4.2,1,5,0,1
1530,4,1,5,1,1
1530,4.2,0,1,0,1
1530,4.4,0,5,0,0
1540,4.3,1,1,1,1
1530,4.4,0,3,0,1
1540,4.4,1,5,1,1
1530,4.5,0,5,0,1
1540,4,2,1,0,1
1540,4.4,1,1,0,1
1530,4.3,1,2,0,0
1540,4.4,0,1,0,1
1530,4.2,1,5,0,1
1540,4.4,1,5,0,0
1530,4,1,1,0,0
1530,4,0,1,0,1
1540,3.8,1,5,0,1
1540,4,1,3,0,0
1540,4.4,0,5,0,1
1530,4.3,1,3,0,1
1530,4,0,3,0,0
1540,4.3,1,1,0,0
1540,4.5,0,1,0,1
1550,4.5,0,3,0,0
1550,4.4,0,5,0,0
1550,4.4,0,1,1,1
1550,4.5,0,5,0,1
1550,4.5,0,5,0,1
1540,4.3,1,1,1,1
1540,4.4,1,5,1,1
1550,4.4,0,1,0,0
1550,4.1,0,5,1,1
1550,3.9,1,5,1,1
1550,3.9,1,5,0,0
1550,4.4,0,3,0,1
1540,4,2,1,0,1
1550,4.3,0,1,0,1
1550,3.8,1,5,0,0
1550,4.2,0,5,0,0
1550,4.5,0,1,0,1
1550,4,0,5,0,1
1540,4.4,1,1,0,1
1550,4,1,3,0,1
1550,4.2,1,5,0,0
1550,4.9,0,1,0,1
1550,4.2,0,5,0,0
1540,4.4,0,1,0,1
1540,4.4,1,5,0,0
1540,3.8,1,5,0,1
1540,4,1,3,0,0
1550,4.2,0,5,0,0
1550,4.5,1,1,0,1
1540,4.4,0,5,0,1
1550,4,0,5,0,0
1540,4.3,1,1,0,0
1550,4.5,0,3,0,0
1560,4.3,1,2,0,0
1560,4,1,1,1,0
1550,4.4,0,5,0,0
1550,4.4,0,1,1,1
1550,4.5,0,5,0,1
1550,4.5,0,5,0,1
1560,4.3,1,1,0,1
1560,4.3,1,1,0,0
1560,4,1,5,0,1
1560,4,0,1,0,1
1560,4.5,2,5,0,0
1550,4.4,0,1,0,0
1560,4.1,0,2,0,0
1550,4.1,0,5,1,1
1550,3.9,1,5,1,1
1560,4.5,0,5,0,1
1550,3.9,1,5,0,0
1550,4.4,0,3,0,1
1550,4.3,0,1,0,1
1560,4.4,0,5,0,0
1550,3.8,1,5,0,0
1560,4.2,0,1,0,0
1550,4.2,0,5,0,0
1550,4.5,0,1,0,1
1560,4.4,0,5,0,0
1560,4,1,1,1,0
1550,4,0,5,0,1
1550,4,1,3,0,1
1550,4.2,1,5,0,0
1560,4.4,1,1,0,0
1550,4.9,0,1,0,1
1560,3.9,0,1,0,1
1550,4.2,0,5,0,0
1560,4.2,0,1,0,0
1550,4.2,0,5,0,0
1550,4.5,1,1,0,1
1560,3.9,0,1,0,0
1560,3.6,0,3,0,1
1550,4,0,5,0,0
1560,4.4,1,5,0,1
1570,4.4,1,5,0,1
1560,4.3,1,2,0,0
1560,4,1,1,1,0
1560,4.3,1,1,0,1
1560,4.3,1,1,0,0
1570,4.2,0,5,0,0
1560,4,1,5,0,1
1560,4,0,1,0,1
1560,4.5,2,5,0,0
1560,4.1,0,2,0,0
1570,4.5,1,5,0,1
1560,4.5,0,5,0,1
1570,4.4,0,5,0,1
1560,4.4,0,5,0,0
1570,4.4,1,1,0,1
1570,4,1,5,0,0
1560,4.2,0,1,0,0
1560,4.4,0,5,0,0
1560,4,1,1,1,0
1570,4.5,1,1,0,0
1570,4.4,0,1,0,1
1560,4.4,1,1,0,0
1570,4,1,5,0,1
1560,3.9,0,1,0,1
1570,4,0,5,0,0
1560,4.2,0,1,0,0
1570,4,1,3,0,1
1570,4.5,0,1,0,0
1570,4,1,1,0,1
1560,3.9,0,1,0,0
1560,3.6,0,3,0,1
1570,3.8,0,5,0,1
1570,4.3,0,1,0,1
1560,4.4,1,5,0,1
1570,4,1,1,0,0
1570,4.4,1,5,0,1
1580,4.4,1,5,0,1
1580,4.5,1,3,1,0
1570,4.2,0,5,0,0
1580,4.4,0,5,1,1
1580,4,0,5,0,1
1580,4.5,0,1,0,0
1580,3.9,0,1,0,0
1580,4.5,1,1,0,1
1570,4.5,1,5,0,1
1580,4.4,1,1,0,1
1570,4.4,0,5,0,1
1570,4.4,1,1,0,1
1570,4,1,5,0,0
1580,4.5,0,1,0,1
1580,4.2,1,5,0,0
1570,4.5,1,1,0,0
1570,4.4,0,1,0,1
1580,4.5,0,2,0,1
1570,4,1,5,0,1
1570,4,0,5,0,0
1580,4.5,1,1,1,1
1580,4.4,1,1,0,0
1570,4,1,3,0,1
1570,4.5,0,1,0,0
1570,4,1,1,0,1
1580,4.4,1,5,0,1
1570,3.8,0,5,0,1
1570,4.3,0,1,0,1
1570,4,1,1,0,0
1580,4,0,5,0,1
1590,4.9,1,5,0,1
1590,4,0,1,0,1
1580,4.4,1,5,0,1
1580,4.5,1,3,1,0
1590,4.5,1,1,0,1
1590,4,1,1,0,0
1590,4,0,5,0,1
1580,4.4,0,5,1,1
1590,4,1,5,0,1
1590,4.5,1,5,0,0
1580,4,0,5,0,1
1580,4.5,0,1,0,0
1580,3.9,0,1,0,0
1580,4.5,1,1,0,1
1580,4.4,1,1,0,1
1580,4.5,0,1,0,1
1590,4.3,1,5,1,1
1590,4,0,5,0,1
1590,4,1,5,0,1
1590,4.4,0,1,1,1
1590,4.5,1,5,0,0
1580,4.2,1,5,0,0
1590,4.4,0,1,0,1
1590,4.4,0,5,0,1
1590,4.4,1,1,0,1
1580,4.5,0,2,0,1
1590,4.5,1,1,0,1
1580,4.5,1,1,1,1
1580,4.4,1,1,0,0
1580,4.4,1,5,0,1
1590,4.2,0,5,0,0
1590,4,0,1,0,0
1580,4,0,5,0,1
1590,4.9,1,5,0,1
1590,4,0,1,0,1
1600,4,0,1,0,1
1590,4.5,1,1,0,1
1590,4,1,1,0,0
1590,4,0,5,0,1
1590,4,1,5,0,1
1600,4.5,0,5,0,1
1590,4.5,1,5,0,0
1600,4.4,0,2,0,1
1600,3.9,0,5,0,1
1590,4.3,1,5,1,1
1590,4,0,5,0,1
1590,4,1,5,0,1
1590,4.4,0,1,1,1
1590,4.5,1,5,0,0
1600,4,1,5,0,0
1600,4.5,0,1,0,0
1600,4.5,0,3,0,1
1590,4.4,0,1,0,1
1590,4.4,0,5,0,1
1590,4.4,1,1,0,1
1600,4.5,0,5,0,1
1600,4.4,0,1,0,1
1590,4.5,1,1,0,1
1600,4,1,1,0,1
1600,4,1,4,0,1
1600,4.2,1,1,0,1
1600,4,0,1,0,0
1600,4,1,5,0,0
1600,4.5,0,4,1,1
1590,4.2,0,5,0,0
1590,4,0,1,0,0
1600,3.9,1,4,0,1
